ID1 ID2 cost
0 1 0.5
0 2 0.5
0 65 1
1 0 0.5
1 2 0.5
1 65 1
2 0 0.5
2 1 0.5
2 65 0.5
2 4 1
2 5 1
3 4 0.5
3 5 1
3 6 1
3 13 1
3 65 1
4 3 0.5
4 5 0.5
4 6 0.5
4 13 0.5
4 65 0.5
4 7 1
4 8 1
4 9 1
4 10 1
4 14 1
4 15 1
4 16 1
4 2 1
5 4 0.5
5 6 0.5
5 7 0.5
5 8 0.5
5 9 0.5
5 65 0.5
5 3 1
5 13 1
5 10 1
5 11 1
5 12 1
5 2 1
6 4 0.5
6 5 0.5
6 8 0.5
6 10 0.5
6 13 0.5
6 3 1
6 65 1
6 7 1
6 9 1
6 12 1
6 15 1
6 14 1
6 16 1
7 5 0.5
7 8 0.5
7 4 1
7 6 1
7 9 1
7 65 1
7 10 1
8 5 0.5
8 6 0.5
8 7 0.5
8 9 0.5
8 10 0.5
8 4 1
8 65 1
8 13 1
8 11 1
8 12 1
8 15 1
9 5 0.5
9 8 0.5
9 10 0.5
9 11 0.5
9 12 0.5
9 4 1
9 6 1
9 7 1
9 65 1
9 13 1
9 15 1
9 24 1
9 27 1
9 29 1
9 16 1
9 20 1
9 21 1
10 6 0.5
10 8 0.5
10 9 0.5
10 12 0.5
10 13 0.5
10 15 0.5
10 4 1
10 5 1
10 7 1
10 11 1
10 27 1
10 29 1
10 16 1
10 20 1
10 21 1
10 14 1
11 9 0.5
11 24 0.5
11 27 0.5
11 12 0.5
11 5 1
11 8 1
11 10 1
11 25 1
11 26 1
11 28 1
11 29 1
11 15 1
11 16 1
11 20 1
11 21 1
12 9 0.5
12 10 0.5
12 27 0.5
12 29 0.5
12 11 0.5
12 15 0.5
12 16 0.5
12 20 0.5
12 21 0.5
12 5 1
12 8 1
12 6 1
12 13 1
12 24 1
12 25 1
12 28 1
12 23 1
12 30 1
12 17 1
12 18 1
12 19 1
12 22 1
13 4 0.5
13 6 0.5
13 10 0.5
13 14 0.5
13 15 0.5
13 16 0.5
13 3 1
13 5 1
13 65 1
13 8 1
13 9 1
13 12 1
13 17 1
13 18 1
13 19 1
13 20 1
13 21 1
14 13 0.5
14 4 1
14 6 1
14 10 1
14 15 1
14 16 1
15 10 0.5
15 12 0.5
15 13 0.5
15 16 0.5
15 6 1
15 8 1
15 9 1
15 27 1
15 29 1
15 11 1
15 20 1
15 21 1
15 4 1
15 14 1
15 17 1
15 18 1
15 19 1
16 12 0.5
16 13 0.5
16 15 0.5
16 17 0.5
16 18 0.5
16 19 0.5
16 20 0.5
16 21 0.5
16 9 1
16 10 1
16 27 1
16 29 1
16 11 1
16 4 1
16 6 1
16 14 1
16 23 1
16 22 1
17 16 0.5
17 12 1
